"Plot Title: 2373807"
"#","Date Time, GMT-07:00","Temp, C","RH, %","Batt, V","Coupler Detached","Coupler Attached","Host Connected","Bad Battery","Good Battery","Stopped","End Of File"
1,01/23/10 12:09:14 PM,6.636,100.000,3.38,Logged,,,,,,
2,01/23/10 12:39:14 PM,5.334,100.000,3.38,,,,,,,
3,01/23/10 01:09:14 PM,5.128,100.000,3.36,,,,,,,
4,01/23/10 01:39:14 PM,5.437,100.000,3.36,,,,,,,
5,01/23/10 02:09:14 PM,5.745,100.000,3.38,,,,,,,
6,01/23/10 02:39:14 PM,6.204,100.000,3.38,,,,,,,
7,01/23/10 03:09:14 PM,6.611,100.000,3.38,,,,,,,
8,01/23/10 03:39:14 PM,6.560,100.000,3.38,,,,,,,
9,01/23/10 04:09:14 PM,6.661,100.000,3.38,,,,,,,
10,01/23/10 04:39:14 PM,6.611,100.000,3.38,,,,,,,
11,01/23/10 05:09:14 PM,6.306,100.000,3.38,,,,,,,
12,01/23/10 05:39:14 PM,6.204,100.000,3.38,,,,,,,
13,01/23/10 06:09:14 PM,6.179,100.000,3.38,,,,,,,
14,01/23/10 06:39:14 PM,5.847,100.000,3.38,,,,,,,
15,01/23/10 07:09:14 PM,5.565,100.000,3.36,,,,,,,
16,01/23/10 07:39:14 PM,5.334,100.000,3.36,,,,,,,
17,01/23/10 08:09:14 PM,5.179,100.000,3.36,,,,,,,
18,01/23/10 08:39:14 PM,4.921,100.000,3.36,,,,,,,
19,01/23/10 09:09:14 PM,4.740,100.000,3.36,,,,,,,
20,01/23/10 09:39:14 PM,4.532,100.000,3.36,,,,,,,
21,01/23/10 10:09:14 PM,4.402,100.000,3.36,,,,,,,
22,01/23/10 10:39:14 PM,4.168,100.000,3.36,,,,,,,
23,01/23/10 11:09:14 PM,3.985,100.000,3.36,,,,,,,
24,01/23/10 11:39:14 PM,3.749,100.000,3.36,,,,,,,
25,01/24/10 12:09:14 AM,3.564,100.000,3.36,,,,,,,
26,01/24/10 12:39:14 AM,3.564,100.000,3.36,,,,,,,
27,01/24/10 01:09:14 AM,3.564,100.000,3.36,,,,,,,
28,01/24/10 01:39:14 AM,3.617,100.000,3.36,,,,,,,
29,01/24/10 02:09:14 AM,3.696,100.000,3.36,,,,,,,
30,01/24/10 02:39:14 AM,3.906,100.000,3.36,,,,,,,
31,01/24/10 03:09:14 AM,4.089,100.000,3.36,,,,,,,
32,01/24/10 03:39:14 AM,4.220,100.000,3.36,,,,,,,
33,01/24/10 04:09:14 AM,4.350,100.000,3.36,,,,,,,
34,01/24/10 04:39:14 AM,4.428,100.000,3.36,,,,,,,
35,01/24/10 05:09:14 AM,4.558,100.000,3.36,,,,,,,
36,01/24/10 05:39:14 AM,4.558,100.000,3.36,,,,,,,
37,01/24/10 06:09:14 AM,4.610,100.000,3.36,,,,,,,
38,01/24/10 06:39:14 AM,4.714,100.000,3.36,,,,,,,
39,01/24/10 07:09:14 AM,4.844,100.000,3.36,,,,,,,
40,01/24/10 07:39:14 AM,4.869,100.000,3.36,,,,,,,
41,01/24/10 08:09:14 AM,4.636,100.000,3.36,,,,,,,
42,01/24/10 08:39:14 AM,4.558,100.000,3.36,,,,,,,
43,01/24/10 09:09:14 AM,4.610,100.000,3.36,,,,,,,
44,01/24/10 09:39:14 AM,4.662,100.000,3.36,,,,,,,
45,01/24/10 10:09:14 AM,4.818,100.000,3.36,,,,,,,
46,01/24/10 10:39:14 AM,5.024,100.000,3.36,,,,,,,
47,01/24/10 11:09:14 AM,5.128,100.000,3.36,,,,,,,
48,01/24/10 11:39:14 AM,5.154,100.000,3.36,,,,,,,
49,01/24/10 12:09:14 PM,5.179,100.000,3.36,,,,,,,
50,01/24/10 12:39:14 PM,5.257,100.000,3.36,,,,,,,
51,01/24/10 01:09:14 PM,5.308,100.000,3.36,,,,,,,
52,01/24/10 01:39:14 PM,5.360,100.000,3.36,,,,,,,
53,01/24/10 02:09:14 PM,5.282,100.000,3.36,,,,,,,
54,01/24/10 02:39:14 PM,5.462,100.000,3.36,,,,,,,
55,01/24/10 03:09:14 PM,5.693,100.000,3.36,,,,,,,
56,01/24/10 03:39:14 PM,5.770,100.000,3.36,,,,,,,
57,01/24/10 04:09:14 PM,5.975,100.000,3.36,,,,,,,
58,01/24/10 04:39:14 PM,6.077,100.000,3.36,,,,,,,
59,01/24/10 05:09:14 PM,6.026,100.000,3.36,,,,,,,
60,01/24/10 05:39:14 PM,6.000,100.000,3.36,,,,,,,
61,01/24/10 06:09:14 PM,6.000,100.000,3.36,,,,,,,
62,01/24/10 06:39:14 PM,6.051,100.000,3.36,,,,,,,
63,01/24/10 07:09:14 PM,6.153,100.000,3.36,,,,,,,
64,01/24/10 07:39:14 PM,6.255,100.000,3.36,,,,,,,
65,01/24/10 08:09:14 PM,6.382,100.000,3.36,,,,,,,
66,01/24/10 08:39:14 PM,6.458,100.000,3.36,,,,,,,
67,01/24/10 09:09:14 PM,6.433,100.000,3.36,,,,,,,
68,01/24/10 09:39:14 PM,6.484,100.000,3.38,,,,,,,
69,01/24/10 10:09:14 PM,6.535,100.000,3.36,,,,,,,
70,01/24/10 10:39:14 PM,6.585,100.000,3.36,,,,,,,
71,01/24/10 11:09:14 PM,6.661,100.000,3.38,,,,,,,
72,01/24/10 11:39:14 PM,6.813,100.000,3.38,,,,,,,
73,01/25/10 12:09:14 AM,6.914,100.000,3.38,,,,,,,
74,01/25/10 12:39:14 AM,7.116,100.000,3.38,,,,,,,
75,01/25/10 01:09:14 AM,7.192,100.000,3.38,,,,,,,
76,01/25/10 01:39:14 AM,7.217,100.000,3.38,,,,,,,
77,01/25/10 02:09:14 AM,7.242,100.000,3.38,,,,,,,
78,01/25/10 02:39:14 AM,7.066,100.000,3.38,,,,,,,
79,01/25/10 03:09:14 AM,6.914,100.000,3.38,,,,,,,
80,01/25/10 03:39:14 AM,7.142,100.000,3.38,,,,,,,
81,01/25/10 04:09:14 AM,7.368,100.000,3.38,,,,,,,
82,01/25/10 04:39:14 AM,7.469,100.000,3.38,,,,,,,
83,01/25/10 05:09:14 AM,7.619,100.000,3.38,,,,,,,
84,01/25/10 05:39:14 AM,7.645,100.000,3.38,,,,,,,
85,01/25/10 06:09:14 AM,7.645,100.000,3.38,,,,,,,
86,01/25/10 06:39:14 AM,7.519,100.000,3.38,,,,,,,
87,01/25/10 07:09:14 AM,7.419,100.000,3.38,,,,,,,
88,01/25/10 07:39:14 AM,7.343,100.000,3.38,,,,,,,
89,01/25/10 08:09:14 AM,7.268,100.000,3.38,,,,,,,
90,01/25/10 08:39:14 AM,7.242,100.000,3.38,,,,,,,
91,01/25/10 09:09:14 AM,7.268,100.000,3.38,,,,,,,
92,01/25/10 09:39:14 AM,7.293,100.000,3.38,,,,,,,
93,01/25/10 10:09:14 AM,7.318,100.000,3.38,,,,,,,
94,01/25/10 10:39:14 AM,7.444,100.000,3.38,,,,,,,
95,01/25/10 11:09:14 AM,7.619,100.000,3.38,,,,,,,
96,01/25/10 11:39:14 AM,7.795,100.000,3.38,,,,,,,
97,01/25/10 12:09:14 PM,7.895,100.000,3.38,,,,,,,
98,01/25/10 12:39:14 PM,7.970,100.000,3.38,,,,,,,
99,01/25/10 01:09:14 PM,7.920,100.000,3.38,,,,,,,
100,01/25/10 01:39:14 PM,8.020,100.000,3.38,,,,,,,
101,01/25/10 02:09:14 PM,8.220,100.000,3.38,,,,,,,
102,01/25/10 02:39:14 PM,8.369,100.000,3.38,,,,,,,
103,01/25/10 03:09:14 PM,8.369,100.000,3.38,,,,,,,
104,01/25/10 03:39:14 PM,8.419,100.000,3.38,,,,,,,
105,01/25/10 04:09:14 PM,8.319,100.000,3.38,,,,,,,
106,01/25/10 04:39:14 PM,8.070,100.000,3.38,,,,,,,
107,01/25/10 05:09:14 PM,7.920,100.000,3.38,,,,,,,
108,01/25/10 05:39:14 PM,7.745,100.000,3.38,,,,,,,
109,01/25/10 06:09:14 PM,7.494,100.000,3.38,,,,,,,
110,01/25/10 06:39:14 PM,7.368,100.000,3.38,,,,,,,
111,01/25/10 07:09:14 PM,7.217,100.000,3.38,,,,,,,
112,01/25/10 07:39:14 PM,7.041,100.000,3.38,,,,,,,
113,01/25/10 08:09:14 PM,6.914,100.000,3.38,,,,,,,
114,01/25/10 08:39:14 PM,7.015,100.000,3.38,,,,,,,
115,01/25/10 09:09:14 PM,7.041,100.000,3.38,,,,,,,
116,01/25/10 09:39:14 PM,7.066,100.000,3.38,,,,,,,
117,01/25/10 10:09:14 PM,7.066,100.000,3.38,,,,,,,
118,01/25/10 10:39:14 PM,7.116,100.000,3.38,,,,,,,
119,01/25/10 11:09:14 PM,7.167,100.000,3.38,,,,,,,
120,01/25/10 11:39:14 PM,7.116,100.000,3.38,,,,,,,
121,01/26/10 12:09:14 AM,7.116,100.000,3.38,,,,,,,
122,01/26/10 12:39:14 AM,7.066,100.000,3.38,,,,,,,
123,01/26/10 01:09:14 AM,6.965,100.000,3.38,,,,,,,
124,01/26/10 01:39:14 AM,6.839,100.000,3.38,,,,,,,
125,01/26/10 02:09:14 AM,6.712,100.000,3.38,,,,,,,
126,01/26/10 02:39:14 AM,6.661,100.000,3.36,,,,,,,
127,01/26/10 03:09:14 AM,6.408,100.000,3.36,,,,,,,
128,01/26/10 03:39:14 AM,6.306,100.000,3.36,,,,,,,
129,01/26/10 04:09:14 AM,6.128,100.000,3.36,,,,,,,
130,01/26/10 04:39:14 AM,6.051,100.000,3.36,,,,,,,
131,01/26/10 05:09:14 AM,5.898,100.000,3.36,,,,,,,
132,01/26/10 05:39:14 AM,5.462,100.000,3.36,,,,,,,
133,01/26/10 06:09:14 AM,4.869,100.000,3.36,,,,,,,
134,01/26/10 06:39:14 AM,4.402,100.000,3.34,,,,,,,
135,01/26/10 07:09:14 AM,4.324,100.000,3.34,,,,,,,
136,01/26/10 07:39:14 AM,4.141,100.000,3.34,,,,,,,
137,01/26/10 08:09:14 AM,4.011,100.000,3.34,,,,,,,
138,01/26/10 08:39:14 AM,4.011,100.000,3.34,,,,,,,
139,01/26/10 09:09:14 AM,3.722,100.000,3.34,,,,,,,
140,01/26/10 09:39:14 AM,3.906,100.000,3.34,,,,,,,
141,01/26/10 10:09:14 AM,3.985,100.000,3.34,,,,,,,
142,01/26/10 10:39:14 AM,4.141,100.000,3.34,,,,,,,
143,01/26/10 11:09:14 AM,4.766,100.000,3.34,,,,,,,
144,01/26/10 11:39:14 AM,5.231,100.000,3.34,,,,,,,
145,01/26/10 12:09:14 PM,5.872,100.000,3.36,,,,,,,
146,01/26/10 12:39:14 PM,6.560,100.000,3.36,,,,,,,
147,01/26/10 01:09:14 PM,7.494,100.000,3.36,,,,,,,
148,01/26/10 01:39:14 PM,8.270,100.000,3.38,,,,,,,
149,01/26/10 02:09:14 PM,8.270,100.000,3.38,,,,,,,
150,01/26/10 02:39:14 PM,8.916,100.000,3.38,,,,,,,
151,01/26/10 03:09:14 PM,9.312,100.000,3.38,,,,,,,
152,01/26/10 03:39:14 PM,9.312,100.000,3.38,,,,,,,
153,01/26/10 04:09:14 PM,9.015,100.000,3.38,,,,,,,
154,01/26/10 04:39:14 PM,8.717,100.000,3.38,,,,,,,
155,01/26/10 05:09:14 PM,8.444,100.000,3.38,,,,,,,
156,01/26/10 05:39:14 PM,8.120,100.000,3.38,,,,,,,
157,01/26/10 06:09:14 PM,7.745,100.000,3.38,,,,,,,
158,01/26/10 06:39:14 PM,7.318,100.000,3.38,,,,,,,
159,01/26/10 07:09:14 PM,6.864,100.000,3.38,,,,,,,
160,01/26/10 07:39:14 PM,6.433,100.000,3.36,,,,,,,
161,01/26/10 08:09:14 PM,6.153,100.000,3.36,,,,,,,
162,01/26/10 08:39:14 PM,5.898,100.000,3.36,,,,,,,
